模型,编号,评价项,正确匹配,应有,输出,召回率,精确率
DeepSeek,03,摘要分段与分节,1,1,1,1.0,1.0
DeepSeek,03,关键词,5,5,5,1.0,1.0
DeepSeek,03,章节层级与标题,19,19,19,1.0,1.0
DeepSeek,03,章节顺序,19,19,19,1.0,1.0
DeepSeek,03,术语—释义条目,0,0,0,,
DeepSeek,03,文末声明与附属章节,8,8,8,1.0,1.0
DeepSeek,03,图对象,5,5,5,1.0,1.0
DeepSeek,03,图注内容,5,5,5,1.0,1.0
DeepSeek,03,表对象,3,3,3,1.0,1.0
DeepSeek,03,表题内容,3,3,3,1.0,1.0
DeepSeek,03,表注内容,2,2,2,1.0,1.0
DeepSeek,03,表格网格位置与内容,149,149,149,1.0,1.0
DeepSeek,03,图片资源及图表归属,5,5,5,1.0,1.0
DeepSeek,03,原生公式数学树,16,16,16,1.0,1.0
DeepSeek,03,公式图片资源,0,0,0,,
DeepSeek,03,参考文献条目覆盖,56,56,56,1.0,1.0
DeepSeek,03,文献著录字段,329,329,329,1.0,1.0
DeepSeek,03,正文—文献引用关系,65,79,79,0.8227848101265823,0.8227848101265823
DeepSeek,03,正文—图表引用关系,11,11,11,1.0,1.0
DeepSeek,03,全文文字保留,7920,7950,8019,0.9962264150943396,0.9876543209876543
DeepSeek,04,题名,1,1,1,1.0,1.0
DeepSeek,04,作者姓名,7,7,7,1.0,1.0
DeepSeek,04,作者顺序,7,7,7,1.0,1.0
DeepSeek,04,作者单位,6,6,6,1.0,1.0
DeepSeek,04,作者—单位关系,10,10,10,1.0,1.0
DeepSeek,04,通讯作者—邮箱关系,1,1,1,1.0,1.0
DeepSeek,04,作者—ORCID 关系,6,6,6,1.0,1.0
DeepSeek,04,稿件日期,3,3,3,1.0,1.0
DeepSeek,04,摘要内容,1,1,1,1.0,1.0
DeepSeek,04,摘要分段与分节,1,1,1,1.0,1.0
DeepSeek,04,关键词,8,8,8,1.0,1.0
DeepSeek,04,章节层级与标题,9,9,9,1.0,1.0
DeepSeek,04,章节顺序,9,9,9,1.0,1.0
DeepSeek,04,术语—释义条目,62,62,62,1.0,1.0
DeepSeek,04,文末声明与附属章节,7,7,7,1.0,1.0
DeepSeek,04,图对象,2,2,2,1.0,1.0
DeepSeek,04,图注内容,2,2,2,1.0,1.0
DeepSeek,04,表对象,3,3,3,1.0,1.0
DeepSeek,04,表题内容,3,3,3,1.0,1.0
DeepSeek,04,表注内容,3,3,3,1.0,1.0
DeepSeek,04,表格网格位置与内容,124,124,124,1.0,1.0
DeepSeek,04,图片资源及图表归属,2,2,2,1.0,1.0
DeepSeek,04,原生公式数学树,0,0,0,,
DeepSeek,04,公式图片资源,0,0,0,,
DeepSeek,04,参考文献条目覆盖,145,145,145,1.0,1.0
DeepSeek,04,文献著录字段,864,870,864,0.993103448275862,1.0
DeepSeek,04,正文—文献引用关系,298,298,303,1.0,0.9834983498349835
DeepSeek,04,正文—图表引用关系,5,5,5,1.0,1.0
DeepSeek,04,全文文字保留,12278,12314,12384,0.997076498294624,0.9914405684754521
DeepSeek,05,题名,1,1,1,1.0,1.0
DeepSeek,05,作者姓名,4,4,4,1.0,1.0
DeepSeek,05,作者顺序,4,4,4,1.0,1.0
DeepSeek,05,作者单位,2,2,2,1.0,1.0
DeepSeek,05,作者—单位关系,4,4,4,1.0,1.0
DeepSeek,05,通讯作者—邮箱关系,1,1,1,1.0,1.0
DeepSeek,05,作者—ORCID 关系,0,0,0,,
DeepSeek,05,稿件日期,3,3,3,1.0,1.0
DeepSeek,05,摘要内容,1,1,1,1.0,1.0
DeepSeek,05,摘要分段与分节,1,1,1,1.0,1.0
DeepSeek,05,关键词,4,4,4,1.0,1.0
DeepSeek,05,章节层级与标题,5,5,5,1.0,1.0
DeepSeek,05,章节顺序,5,5,5,1.0,1.0
DeepSeek,05,术语—释义条目,0,0,0,,
DeepSeek,05,文末声明与附属章节,6,6,6,1.0,1.0
DeepSeek,05,图对象,4,4,4,1.0,1.0
DeepSeek,05,图注内容,4,4,4,1.0,1.0
DeepSeek,05,表对象,14,14,14,1.0,1.0
DeepSeek,05,表题内容,14,14,14,1.0,1.0
DeepSeek,05,表注内容,14,14,14,1.0,1.0
DeepSeek,05,表格网格位置与内容,603,800,669,0.75375,0.9013452914798207
DeepSeek,05,图片资源及图表归属,4,4,4,1.0,1.0
DeepSeek,05,原生公式数学树,0,0,0,,
DeepSeek,05,公式图片资源,0,0,0,,
DeepSeek,05,参考文献条目覆盖,27,27,27,1.0,1.0
DeepSeek,05,文献著录字段,164,187,167,0.8770053475935828,0.9820359281437125
DeepSeek,05,正文—文献引用关系,40,46,41,0.8695652173913043,0.975609756097561
DeepSeek,05,正文—图表引用关系,14,14,14,1.0,1.0
DeepSeek,05,全文文字保留,7790,7836,7879,0.9941296579887697,0.9887041502728773
DeepSeek,S01,题名,1,1,1,1.0,1.0
DeepSeek,S01,作者姓名,5,5,5,1.0,1.0
DeepSeek,S01,作者顺序,5,5,5,1.0,1.0
DeepSeek,S01,作者单位,1,1,1,1.0,1.0
DeepSeek,S01,作者—单位关系,5,5,5,1.0,1.0
DeepSeek,S01,通讯作者—邮箱关系,1,1,1,1.0,1.0
DeepSeek,S01,作者—ORCID 关系,1,1,1,1.0,1.0
DeepSeek,S01,稿件日期,3,3,3,1.0,1.0
DeepSeek,S01,摘要内容,1,1,1,1.0,1.0
DeepSeek,S01,摘要分段与分节,1,1,1,1.0,1.0
DeepSeek,S01,关键词,5,5,5,1.0,1.0
DeepSeek,S01,章节层级与标题,20,20,20,1.0,1.0
DeepSeek,S01,章节顺序,20,20,20,1.0,1.0
DeepSeek,S01,术语—释义条目,0,0,0,,
DeepSeek,S01,文末声明与附属章节,7,7,7,1.0,1.0
DeepSeek,S01,图对象,3,3,3,1.0,1.0
DeepSeek,S01,图注内容,3,3,3,1.0,1.0
DeepSeek,S01,表对象,5,5,5,1.0,1.0
DeepSeek,S01,表题内容,5,5,5,1.0,1.0
DeepSeek,S01,表注内容,2,2,2,1.0,1.0
DeepSeek,S01,表格网格位置与内容,128,128,128,1.0,1.0
DeepSeek,S01,图片资源及图表归属,3,3,3,1.0,1.0
DeepSeek,S01,原生公式数学树,0,0,0,,
DeepSeek,S01,公式图片资源,0,0,0,,
DeepSeek,S01,参考文献条目覆盖,30,30,30,1.0,1.0
DeepSeek,S01,文献著录字段,178,178,178,1.0,1.0
DeepSeek,S01,正文—文献引用关系,31,35,33,0.8857142857142857,0.9393939393939394
DeepSeek,S01,正文—图表引用关系,8,8,8,1.0,1.0
DeepSeek,S01,全文文字保留,6749,6763,6834,0.9979299127606092,0.9875621890547264
DeepSeek,S02,题名,1,1,1,1.0,1.0
DeepSeek,S02,作者姓名,10,10,10,1.0,1.0
DeepSeek,S02,作者顺序,10,10,10,1.0,1.0
DeepSeek,S02,作者单位,8,8,8,1.0,1.0
DeepSeek,S02,作者—单位关系,14,14,14,1.0,1.0
DeepSeek,S02,通讯作者—邮箱关系,2,2,2,1.0,1.0
DeepSeek,S02,作者—ORCID 关系,10,10,10,1.0,1.0
DeepSeek,S02,稿件日期,3,3,3,1.0,1.0
DeepSeek,S02,摘要内容,1,1,1,1.0,1.0
DeepSeek,S02,摘要分段与分节,1,1,1,1.0,1.0
DeepSeek,S02,关键词,5,5,5,1.0,1.0
DeepSeek,S02,章节层级与标题,25,25,25,1.0,1.0
DeepSeek,S02,章节顺序,25,25,25,1.0,1.0
DeepSeek,S02,术语—释义条目,0,0,0,,
DeepSeek,S02,文末声明与附属章节,7,7,7,1.0,1.0
DeepSeek,S02,图对象,2,2,2,1.0,1.0
DeepSeek,S02,图注内容,2,2,2,1.0,1.0
DeepSeek,S02,表对象,2,2,2,1.0,1.0
DeepSeek,S02,表题内容,2,2,2,1.0,1.0
DeepSeek,S02,表注内容,2,2,2,1.0,1.0
DeepSeek,S02,表格网格位置与内容,63,63,63,1.0,1.0
DeepSeek,S02,图片资源及图表归属,2,2,2,1.0,1.0
DeepSeek,S02,原生公式数学树,0,0,0,,
DeepSeek,S02,公式图片资源,0,0,0,,
DeepSeek,S02,参考文献条目覆盖,50,50,50,1.0,1.0
DeepSeek,S02,文献著录字段,300,300,301,1.0,0.9966777408637874
DeepSeek,S02,正文—文献引用关系,76,76,76,1.0,1.0
DeepSeek,S02,正文—图表引用关系,4,4,4,1.0,1.0
DeepSeek,S02,全文文字保留,11623,11653,11741,0.9974255556509053,0.9899497487437185
DeepSeek,S03,题名,1,1,1,1.0,1.0
DeepSeek,S03,作者姓名,6,6,6,1.0,1.0
DeepSeek,S03,作者顺序,6,6,6,1.0,1.0
DeepSeek,S03,作者单位,3,3,3,1.0,1.0
DeepSeek,S03,作者—单位关系,18,18,18,1.0,1.0
DeepSeek,S03,通讯作者—邮箱关系,1,1,1,1.0,1.0
DeepSeek,S03,作者—ORCID 关系,4,4,4,1.0,1.0
DeepSeek,S03,稿件日期,3,3,3,1.0,1.0
DeepSeek,S03,摘要内容,2,2,2,1.0,1.0
DeepSeek,S03,摘要分段与分节,2,2,2,1.0,1.0
DeepSeek,S03,关键词,4,4,4,1.0,1.0
DeepSeek,S03,章节层级与标题,17,17,17,1.0,1.0
DeepSeek,S03,章节顺序,17,17,17,1.0,1.0
DeepSeek,S03,术语—释义条目,0,0,0,,
DeepSeek,S03,文末声明与附属章节,6,6,6,1.0,1.0
DeepSeek,S03,图对象,4,4,4,1.0,1.0
DeepSeek,S03,图注内容,4,4,4,1.0,1.0
DeepSeek,S03,表对象,1,1,1,1.0,1.0
DeepSeek,S03,表题内容,1,1,1,1.0,1.0
DeepSeek,S03,表注内容,1,1,1,1.0,1.0
DeepSeek,S03,表格网格位置与内容,192,192,192,1.0,1.0
DeepSeek,S03,图片资源及图表归属,4,4,4,1.0,1.0
DeepSeek,S03,原生公式数学树,0,0,0,,
DeepSeek,S03,公式图片资源,0,0,0,,
DeepSeek,S03,参考文献条目覆盖,22,22,22,1.0,1.0
DeepSeek,S03,文献著录字段,121,121,121,1.0,1.0
DeepSeek,S03,正文—文献引用关系,23,23,23,1.0,1.0
DeepSeek,S03,正文—图表引用关系,24,24,24,1.0,1.0
DeepSeek,S03,全文文字保留,7998,8019,8119,0.9973812196034418,0.9850966867840867
DeepSeek,S04,题名,1,1,1,1.0,1.0
DeepSeek,S04,作者姓名,6,6,6,1.0,1.0
DeepSeek,S04,作者顺序,6,6,6,1.0,1.0
DeepSeek,S04,作者单位,3,3,3,1.0,1.0
DeepSeek,S04,作者—单位关系,14,14,14,1.0,1.0
DeepSeek,S04,通讯作者—邮箱关系,0,0,0,,
DeepSeek,S04,作者—ORCID 关系,0,0,0,,
DeepSeek,S04,稿件日期,3,3,3,1.0,1.0
DeepSeek,S04,摘要内容,1,1,1,1.0,1.0
DeepSeek,S04,摘要分段与分节,1,1,1,1.0,1.0
DeepSeek,S04,关键词,5,5,5,1.0,1.0
DeepSeek,S04,章节层级与标题,14,14,14,1.0,1.0
DeepSeek,S04,章节顺序,14,14,14,1.0,1.0
DeepSeek,S04,术语—释义条目,0,0,0,,
DeepSeek,S04,文末声明与附属章节,8,8,8,1.0,1.0
DeepSeek,S04,图对象,6,6,6,1.0,1.0
DeepSeek,S04,图注内容,6,6,6,1.0,1.0
DeepSeek,S04,表对象,3,3,3,1.0,1.0
DeepSeek,S04,表题内容,3,3,3,1.0,1.0
DeepSeek,S04,表注内容,2,2,2,1.0,1.0
DeepSeek,S04,表格网格位置与内容,414,414,414,1.0,1.0
DeepSeek,S04,图片资源及图表归属,6,6,6,1.0,1.0
DeepSeek,S04,原生公式数学树,0,0,0,,
DeepSeek,S04,公式图片资源,0,0,0,,
DeepSeek,S04,参考文献条目覆盖,41,41,41,1.0,1.0
DeepSeek,S04,文献著录字段,242,242,242,1.0,1.0
DeepSeek,S04,正文—文献引用关系,43,43,43,1.0,1.0
DeepSeek,S04,正文—图表引用关系,10,10,10,1.0,1.0
DeepSeek,S04,全文文字保留,7812,7819,7885,0.999104744852283,0.9907419150285351
DeepSeek,S05,题名,1,1,1,1.0,1.0
DeepSeek,S05,作者姓名,9,9,9,1.0,1.0
DeepSeek,S05,作者顺序,9,9,9,1.0,1.0
DeepSeek,S05,作者单位,6,6,6,1.0,1.0
DeepSeek,S05,作者—单位关系,23,23,23,1.0,1.0
DeepSeek,S05,通讯作者—邮箱关系,4,4,4,1.0,1.0
DeepSeek,S05,作者—ORCID 关系,5,5,5,1.0,1.0
DeepSeek,S05,稿件日期,3,3,3,1.0,1.0
DeepSeek,S05,摘要内容,2,2,2,1.0,1.0
DeepSeek,S05,摘要分段与分节,2,2,2,1.0,1.0
DeepSeek,S05,关键词,5,5,5,1.0,1.0
DeepSeek,S05,章节层级与标题,15,15,15,1.0,1.0
DeepSeek,S05,章节顺序,15,15,15,1.0,1.0
DeepSeek,S05,术语—释义条目,0,0,0,,
DeepSeek,S05,文末声明与附属章节,1,1,1,1.0,1.0
DeepSeek,S05,图对象,4,4,4,1.0,1.0
DeepSeek,S05,图注内容,4,4,4,1.0,1.0
DeepSeek,S05,表对象,3,3,3,1.0,1.0
DeepSeek,S05,表题内容,3,3,3,1.0,1.0
DeepSeek,S05,表注内容,3,3,3,1.0,1.0
DeepSeek,S05,表格网格位置与内容,428,428,428,1.0,1.0
DeepSeek,S05,图片资源及图表归属,5,5,5,1.0,1.0
DeepSeek,S05,原生公式数学树,0,0,0,,
DeepSeek,S05,公式图片资源,0,0,0,,
DeepSeek,S05,参考文献条目覆盖,46,46,46,1.0,1.0
DeepSeek,S05,文献著录字段,270,276,270,0.9782608695652174,1.0
DeepSeek,S05,正文—文献引用关系,53,60,60,0.8833333333333333,0.8833333333333333
DeepSeek,S05,正文—图表引用关系,9,9,9,1.0,1.0
DeepSeek,S05,全文文字保留,7116,7155,7208,0.9945492662473795,0.9872364039955605
DeepSeek,X01,题名,1,1,1,1.0,1.0
DeepSeek,X01,作者姓名,5,5,5,1.0,1.0
DeepSeek,X01,作者顺序,5,5,5,1.0,1.0
DeepSeek,X01,作者单位,1,1,1,1.0,1.0
DeepSeek,X01,作者—单位关系,5,5,5,1.0,1.0
DeepSeek,X01,通讯作者—邮箱关系,1,1,1,1.0,1.0
DeepSeek,X01,作者—ORCID 关系,0,0,0,,
DeepSeek,X01,稿件日期,3,3,3,1.0,1.0
DeepSeek,X01,摘要内容,1,1,1,1.0,1.0
DeepSeek,X01,摘要分段与分节,1,1,1,1.0,1.0
DeepSeek,X01,关键词,5,5,5,1.0,1.0
DeepSeek,X01,章节层级与标题,22,22,22,1.0,1.0
DeepSeek,X01,章节顺序,22,22,22,1.0,1.0
DeepSeek,X01,术语—释义条目,0,0,0,,
DeepSeek,X01,文末声明与附属章节,7,7,7,1.0,1.0
DeepSeek,X01,图对象,12,12,12,1.0,1.0
DeepSeek,X01,图注内容,12,12,12,1.0,1.0
DeepSeek,X01,表对象,3,3,3,1.0,1.0
DeepSeek,X01,表题内容,3,3,3,1.0,1.0
DeepSeek,X01,表注内容,2,2,2,1.0,1.0
DeepSeek,X01,表格网格位置与内容,156,156,156,1.0,1.0
DeepSeek,X01,图片资源及图表归属,12,12,12,1.0,1.0
DeepSeek,X01,原生公式数学树,0,1,0,0.0,
DeepSeek,X01,公式图片资源,0,0,0,,
DeepSeek,X01,参考文献条目覆盖,30,30,30,1.0,1.0
DeepSeek,X01,文献著录字段,0,180,0,0.0,
DeepSeek,X01,正文—文献引用关系,25,33,32,0.7575757575757576,0.78125
DeepSeek,X01,正文—图表引用关系,7,7,18,1.0,0.3888888888888889
DeepSeek,X01,全文文字保留,8383,8396,8437,0.9984516436398285,0.9935996207182648
DeepSeek,X02,题名,1,1,1,1.0,1.0
DeepSeek,X02,作者姓名,5,5,5,1.0,1.0
DeepSeek,X02,作者顺序,5,5,5,1.0,1.0
DeepSeek,X02,作者单位,3,3,3,1.0,1.0
DeepSeek,X02,作者—单位关系,5,5,5,1.0,1.0
DeepSeek,X02,通讯作者—邮箱关系,1,1,1,1.0,1.0
DeepSeek,X02,作者—ORCID 关系,0,0,0,,
DeepSeek,X02,稿件日期,3,3,3,1.0,1.0
DeepSeek,X02,摘要内容,1,2,2,0.5,0.5
DeepSeek,X02,摘要分段与分节,2,2,2,1.0,1.0
DeepSeek,X02,关键词,7,7,7,1.0,1.0
DeepSeek,X02,章节层级与标题,14,14,15,1.0,0.9333333333333333
DeepSeek,X02,章节顺序,14,14,15,1.0,0.9333333333333333
DeepSeek,X02,术语—释义条目,0,0,0,,
DeepSeek,X02,文末声明与附属章节,10,10,10,1.0,1.0
DeepSeek,X02,图对象,5,19,5,0.2631578947368421,1.0
DeepSeek,X02,图注内容,3,19,5,0.15789473684210525,0.6
DeepSeek,X02,表对象,4,5,5,0.8,0.8
DeepSeek,X02,表题内容,3,5,5,0.6,0.6
DeepSeek,X02,表注内容,0,0,0,,
DeepSeek,X02,表格网格位置与内容,102,150,150,0.68,0.68
DeepSeek,X02,图片资源及图表归属,6,20,6,0.3,1.0
DeepSeek,X02,原生公式数学树,0,0,0,,
DeepSeek,X02,公式图片资源,9,9,21,1.0,0.42857142857142855
DeepSeek,X02,参考文献条目覆盖,32,32,32,1.0,1.0
DeepSeek,X02,文献著录字段,13,200,13,0.065,1.0
DeepSeek,X02,正文—文献引用关系,31,40,40,0.775,0.775
DeepSeek,X02,正文—图表引用关系,7,14,16,0.5,0.4375
DeepSeek,X02,全文文字保留,8934,9018,9012,0.9906852960745176,0.9913448735019973
DeepSeek,X03,题名,1,1,1,1.0,1.0
DeepSeek,X03,作者姓名,4,4,4,1.0,1.0
DeepSeek,X03,作者顺序,4,4,4,1.0,1.0
DeepSeek,X03,作者单位,5,5,5,1.0,1.0
DeepSeek,X03,作者—单位关系,8,8,8,1.0,1.0
DeepSeek,X03,通讯作者—邮箱关系,2,2,4,1.0,0.5
DeepSeek,X03,作者—ORCID 关系,2,2,2,1.0,1.0
DeepSeek,X03,稿件日期,2,3,2,0.6666666666666666,1.0
DeepSeek,X03,摘要内容,1,1,1,1.0,1.0
DeepSeek,X03,摘要分段与分节,0,1,1,0.0,0.0
DeepSeek,X03,关键词,5,5,5,1.0,1.0
DeepSeek,X03,章节层级与标题,20,20,20,1.0,1.0
DeepSeek,X03,章节顺序,20,20,20,1.0,1.0
DeepSeek,X03,术语—释义条目,0,0,0,,
DeepSeek,X03,文末声明与附属章节,8,8,8,1.0,1.0
DeepSeek,X03,图对象,1,1,1,1.0,1.0
DeepSeek,X03,图注内容,1,1,1,1.0,1.0
DeepSeek,X03,表对象,5,5,5,1.0,1.0
DeepSeek,X03,表题内容,5,5,5,1.0,1.0
DeepSeek,X03,表注内容,3,3,3,1.0,1.0
DeepSeek,X03,表格网格位置与内容,236,236,236,1.0,1.0
DeepSeek,X03,图片资源及图表归属,1,1,1,1.0,1.0
DeepSeek,X03,原生公式数学树,0,0,0,,
DeepSeek,X03,公式图片资源,0,0,0,,
DeepSeek,X03,参考文献条目覆盖,35,35,35,1.0,1.0
DeepSeek,X03,文献著录字段,203,230,203,0.8826086956521739,1.0
DeepSeek,X03,正文—文献引用关系,41,43,41,0.9534883720930233,1.0
DeepSeek,X03,正文—图表引用关系,9,9,9,1.0,1.0
DeepSeek,X03,全文文字保留,8151,8166,8198,0.9981631153563556,0.9942668943644791
DeepSeek,X04,题名,1,1,1,1.0,1.0
DeepSeek,X04,作者姓名,9,10,10,0.9,0.9
DeepSeek,X04,作者顺序,8,10,10,0.8,0.8
DeepSeek,X04,作者单位,5,5,5,1.0,1.0
DeepSeek,X04,作者—单位关系,10,11,11,0.9090909090909091,0.9090909090909091
DeepSeek,X04,通讯作者—邮箱关系,4,4,4,1.0,1.0
DeepSeek,X04,作者—ORCID 关系,0,0,0,,
DeepSeek,X04,稿件日期,3,3,3,1.0,1.0
DeepSeek,X04,摘要内容,1,1,1,1.0,1.0
DeepSeek,X04,摘要分段与分节,1,1,1,1.0,1.0
DeepSeek,X04,关键词,3,4,5,0.75,0.6
DeepSeek,X04,章节层级与标题,11,11,11,1.0,1.0
DeepSeek,X04,章节顺序,11,11,11,1.0,1.0
DeepSeek,X04,术语—释义条目,0,0,0,,
DeepSeek,X04,文末声明与附属章节,2,2,2,1.0,1.0
DeepSeek,X04,图对象,9,9,9,1.0,1.0
DeepSeek,X04,图注内容,9,9,9,1.0,1.0
DeepSeek,X04,表对象,1,1,1,1.0,1.0
DeepSeek,X04,表题内容,1,1,1,1.0,1.0
DeepSeek,X04,表注内容,0,0,0,,
DeepSeek,X04,表格网格位置与内容,51,51,51,1.0,1.0
DeepSeek,X04,图片资源及图表归属,9,9,9,1.0,1.0
DeepSeek,X04,原生公式数学树,0,0,0,,
DeepSeek,X04,公式图片资源,0,0,0,,
DeepSeek,X04,参考文献条目覆盖,70,70,70,1.0,1.0
DeepSeek,X04,文献著录字段,450,505,450,0.8910891089108911,1.0
DeepSeek,X04,正文—文献引用关系,78,79,79,0.9873417721518988,0.9873417721518988
DeepSeek,X04,正文—图表引用关系,33,33,33,1.0,1.0
DeepSeek,X04,全文文字保留,10635,10670,10777,0.9967197750702905,0.9868237914076273
